,2,3,4,5,6,7,8,9,10,11
4, 4332, 4450, 4441, 4553, 4461, 4385, 4293, 4536, 18082, 4528
5, 8797, 8834, 9251, 9203, 9092, 9207, 9229, 9193, 36760, 8985
6, 13155, 13398, 13208, 13763, 13524, 13691, 13855, 13739, 54114, 13704
7, 18025, 18234, 18140, 18082, 18463, 18494, 18710, 18108, 73664, 18406
8, 22373, 22524, 22519, 22593, 22349, 22630, 22850, 22662, 91367, 22809
9, 27169, 27268, 27251, 27204, 27143, 27336, 27375, 27384, 109862, 27376
10, 31532, 31663, 31954, 31913, 31683, 31934, 31524, 32007, 128349, 31916
11, 36543, 37039, 36731, 36238, 36394, 36371, 36465, 36558, 146846, 36412
12, 72169, 72637, 72662, 72756, 73490, 72652, 72825, 72819, 290494, 73212
13, 73431, 72182, 73474, 72877, 73172, 73346, 72995, 72322, 291474, 73453
14, 68431, 68355, 67575, 68258, 68320, 68256, 68450, 68421, 274404, 68323
15, 64024, 64102, 63863, 63556, 64107, 63526, 63908, 63640, 255682, 63802
16, 59487, 59829, 59090, 59134, 58224, 59271, 59162, 58769, 235919, 58899
17, 54893, 55254, 55025, 55397, 54707, 53761, 54874, 54166, 218808, 54667
18, 50561, 50371, 50162, 50340, 50055, 49572, 49495, 50296, 199696, 49946
19, 45590, 45945, 45682, 45888, 45869, 46515, 45310, 44864, 182556, 45334
20, 81918, 81665, 81833, 82236, 81614, 81630, 82050, 81589, 322211, 81635
21, 37012, 36716, 36407, 36564, 36542, 36842, 36386, 36549, 145184, 35384
